region,percentile,f_ghz,gamma_dB_per_km
costa,99,32.0,0.3585469259518911
costa,99,32.0,0.3691118202085897
costa,99,32.0,0.3378227741333449
costa,99,32.0,0.3470635580213431
costa,99,38.0,0.4791818449990841
costa,99,38.0,0.4938104902833174
costa,99,38.0,0.4501880358318009
costa,99,38.0,0.4629857940216894
costa,99,38.0,0.4790592413605044
costa,99,38.0,0.4936878866447378
costa,99,38.0,0.4500632256514005
costa,99,38.0,0.4628609838412889
selva,1,6.0,0.013859185530003
selva,1,6.0,0.0141692721171687
selva,1,6.0,0.0132891073416792
selva,1,6.0,0.0135633604817989
selva,1,6.0,0.0138563933320585
selva,1,6.0,0.0141664799192242
selva,1,6.0,0.0132862692807068
selva,1,6.0,0.0135605224208265
selva,1,7.0,0.0188093263792277
selva,1,7.0,0.0192308015782728
selva,1,7.0,0.0180340288709905
selva,1,7.0,0.0184068035138066
selva,1,7.0,0.0188055413997918
selva,1,7.0,0.0192270165988369
selva,1,7.0,0.0180301817216724
selva,1,7.0,0.0184029563644885
selva,1,11.0,0.0460303405255265
selva,1,11.0,0.0470795338422271
selva,1,11.0,0.0440869314803347
selva,1,11.0,0.0450148283721092
selva,1,11.0,0.0460212005613684
selva,1,11.0,0.047070393878069
selva,1,11.0,0.0440776413884136
selva,1,11.0,0.0450055382801882
selva,1,15.0,0.0856917434012447
selva,1,15.0,0.0877248067008266
selva,1,15.0,0.0818643255100516
selva,1,15.0,0.0836617291282844
selva,1,15.0,0.085675273504116
selva,1,15.0,0.087708336803698
selva,1,15.0,0.0818475850879221
selva,1,15.0,0.0836449887061549
selva,1,18.0,0.128450290663069
selva,1,18.0,0.1317404778936525
selva,1,18.0,0.1220704132094802
selva,1,18.0,0.1249768535984191
selva,1,18.0,0.1284272526090461
selva,1,18.0,0.1317174398396296
selva,1,18.0,0.1220469967457116
selva,1,18.0,0.1249534371346506
selva,1,23.0,0.3293002765234061
selva,1,23.0,0.3409925236519097
selva,1,23.0,0.3041464534152095
selva,1,23.0,0.3144863439803542
selva,1,23.0,0.329264765877321
selva,1,23.0,0.3409570130058246
selva,1,23.0,0.3041103594917981
selva,1,23.0,0.3144502500569427
selva,1,32.0,0.3373103800975237
selva,1,32.0,0.3459127210207506
selva,1,32.0,0.3207312127391937
selva,1,32.0,0.3283412518993681
selva,1,32.0,0.33724982042655
selva,1,32.0,0.3458521613497769
selva,1,32.0,0.3206696583501041
selva,1,32.0,0.3282796975102785
selva,1,38.0,0.4495995468193853
selva,1,38.0,0.4615122606538215
selva,1,38.0,0.4263635945779007
selva,1,38.0,0.4369039146947233
selva,1,38.0,0.4495219795333919
selva,1,38.0,0.4614346933678283
selva,1,38.0,0.4262847532165477
selva,1,38.0,0.4368250733333702
selva,5,6.0,0.0139141340185219
selva,5,6.0,0.0142452637278464
selva,5,6.0,0.0133330382279239
selva,5,6.0,0.0136256065942138
selva,5,6.0,0.0139111469964202
selva,5,6.0,0.0142422767057447
selva,5,6.0,0.013330001728036
selva,5,6.0,0.0136225700943259
selva,5,7.0,0.018884021225457
selva,5,7.0,0.0193340982371849
selva,5,7.0,0.0180937457857308
selva,5,7.0,0.0184914148871949
selva,5,7.0,0.0188799721510524
selva,5,7.0,0.0193300491627803
selva,5,7.0,0.0180896296414382
selva,5,7.0,0.0184872987429024
selva,5,11.0,0.0462165325094737
selva,5,11.0,0.0473369300587004
selva,5,11.0,0.0442357163484985
selva,5,11.0,0.0452255827573331
selva,5,11.0,0.046206754809077
selva,5,11.0,0.0473271523583037
selva,5,11.0,0.0442257766878105
selva,5,11.0,0.0452156430966451
selva,5,15.0,0.0860537025685136
selva,5,15.0,0.0882247862794306
selva,5,15.0,0.0821531765578712
selva,5,15.0,0.0840706497796264
selva,5,15.0,0.0860360834928911
selva,5,15.0,0.0882071672038082
selva,5,15.0,0.0821352656354439
selva,5,15.0,0.084052738857199
selva,5,18.0,0.1290396188923681
selva,5,18.0,0.1325533343802352
selva,5,18.0,0.1225394448595919
selva,5,18.0,0.1256401497657512
selva,5,18.0,0.1290149733701251
selva,5,18.0,0.1325286888579923
selva,5,18.0,0.122514391102713
selva,5,18.0,0.1256150960088724
selva,5,23.0,0.3314420850893272
selva,5,23.0,0.3439261260367208
selva,5,23.0,0.3058416730997166
selva,5,23.0,0.3168708465971718
selva,5,23.0,0.3314040967064073
selva,5,23.0,0.3438881376538009
selva,5,23.0,0.3058030554676569
selva,5,23.0,0.3168322289651121
selva,5,32.0,0.3388488108076724
selva,5,32.0,0.348034790291861
selva,5,32.0,0.3219581167528736
selva,5,32.0,0.330076281230832
selva,5,32.0,0.338784025617199
selva,5,32.0,0.3479700051013876
selva,5,32.0,0.3218922584441931
selva,5,32.0,0.3300104229221515
selva,5,38.0,0.4517350435906702
selva,5,38.0,0.4644558616723415
selva,5,38.0,0.4280657723790912
selva,5,38.0,0.4393097859786453
selva,5,38.0,0.4516520640876976
selva,5,38.0,0.4643728821693689
selva,5,38.0,0.4279814183827382
selva,5,38.0,0.4392254319822923
selva,10,6.0,0.0139831700686493
selva,10,6.0,0.0143407525660625
selva,10,6.0,0.0133881286415417
selva,10,6.0,0.0137036701762497
selva,10,6.0,0.0139799397026419
selva,10,6.0,0.0143375222000552
selva,10,6.0,0.0133848442064168
selva,10,6.0,0.0137003857411247
selva,10,7.0,0.0189778660090747
selva,10,7.0,0.0194638975848141
selva,10,7.0,0.0181686321958536
selva,10,7.0,0.0185975268895209
selva,10,7.0,0.018973487068487
selva,10,7.0,0.0194595186442264
selva,10,7.0,0.0181641799615731
selva,10,7.0,0.0185930746552404
selva,10,11.0,0.0464504590008849
selva,10,11.0,0.0476603663061499
selva,10,11.0,0.0444222961147465
selva,10,11.0,0.045489892621238
selva,10,11.0,0.0464398847399938
selva,10,11.0,0.0476497920452588
selva,10,11.0,0.044411544864327
selva,10,11.0,0.0454791413708185
selva,10,15.0,0.0865084613428083
selva,10,15.0,0.0888530564914739
selva,10,15.0,0.0825154062495387
selva,10,15.0,0.0845834914516608
selva,10,15.0,0.0864894068929139
selva,10,15.0,0.0888340020415796
selva,10,15.0,0.0824960328706776
selva,10,15.0,0.0845641180727996
selva,10,18.0,0.1297800576239645
selva,10,18.0,0.1335748094876689
selva,10,18.0,0.12312764282812
selva,10,18.0,0.1264720470156429
selva,10,18.0,0.1297534043035087
selva,10,18.0,0.1335481561672132
selva,10,18.0,0.123100543390563
selva,10,18.0,0.1264449475780858
selva,10,23.0,0.3341323186424917
selva,10,23.0,0.3476113989303924
selva,10,23.0,0.3079671957332563
selva,10,23.0,0.3198607302134015
selva,10,23.0,0.3340912354577419
selva,10,23.0,0.3475703157456426
selva,10,23.0,0.3079254249076806
selva,10,23.0,0.3198189593878258
selva,10,32.0,0.3407815282104725
selva,10,32.0,0.3507011612240078
selva,10,32.0,0.3234966308929037
selva,10,32.0,0.3322521316437447
selva,10,32.0,0.3407114651610693
selva,10,32.0,0.3506310981746047
selva,10,32.0,0.3234253951444157
selva,10,32.0,0.3321808958952567
selva,10,38.0,0.4544177819342681
selva,10,38.0,0.4681543909948089
selva,10,38.0,0.4302002397102249
selva,10,38.0,0.4423268731721893
selva,10,38.0,0.4543280423352372
selva,10,38.0,0.4680646513957782
selva,10,38.0,0.4301089980705813
selva,10,38.0,0.4422356315325456
selva,50,6.0,0.0145382909007878
selva,50,6.0,0.0149576897359072
selva,50,6.0,0.0137889206998249
selva,50,6.0,0.0141528226267298
selva,50,6.0,0.0145365208042551
selva,50,6.0,0.0149559196393745
selva,50,6.0,0.0137871168098593
selva,50,6.0,0.0141510187367642
selva,50,7.0,0.0197325722183602
selva,50,7.0,0.0203026200410677
selva,50,7.0,0.018713527358302
selva,50,7.0,0.0192081518084071
